# File: AllowedSmpChars.txt
# Fields: allowed char | [replacement char]
# License: Apache-2.0 (see LICENSE)

𫛻	𪃒
𫛼	䳫
𫛽	鷅
𫛾	𪆷
𫜀	鷐
𫜁	鷩
𫜂	𪅂
𫜃	鷣
𫜄	鷷
𫜅	䴋
𫜊	𪉸
𫜑	麷
𫜒	䴱
𫜓	𪌭
𫜔	䴽
𫜕	𪍠
𫜙	䵴
𫜟	𪓰
𫜨	䶕
𫜪	齩
𫜫	𫜦
𫜬	齰
𫜭	齭
𫜮	齴
𫜯	𪙏
𫜰	齾
𫜲	龓
𫜳	䶲
𫝈	㑮
𫝋	𠐊
𫝦	㛝
𫝧	㜐
𫝨	媈
𫝩	嬦
𫝪	𡟫
𫝫	婡
𫝬	嬇
𫝭	孆
𫝮	孄
𫝵	嶹
𫞅	𦠅
𫞗	潣
𫞚	澬
𫞛	㶆
𫞝	灍
𫞠	爧
𫞡	爃
𫞢	𤛱
𫞣	㹽
𫞥	珼
𫞦	璾
𫞧	𤩂
𫞨	璼
𫞷	𥢶
𫟃	絍
𫟄	綋
𫟆	緟
𫟇	𦆲
𫟑	䖅
𫟕	䕤
𫟞	訨
𫟟	詊
𫟠	譂
𫟡	誴
𫟢	䜖
𫟤	䡐
𫟥	䡩
𫟫	𨞺
𫟬	𨟊
𫟲	釚
𫟳	釲
𫟴	鈖
𫟵	鈗
𫟶	銏
𫟸	鉽
𫟺	䤤
𫟻	銂
𫟽	𨧰
𫟾	𨩰
𫟿	鎈
𫠀	䥄
𫠁	鑉
𫠂	閝
𫠅	韚
𫠇	𩖰
𫠈	䫾
𫠋	騼
𫠌	𩦠
𫠏	𩵦
𫠐	魽
𫠑	䱸
𫠒	鱆
𫠖	𩿅
𫧃	𣍐
𫧮	𪋿
𫫇
𫬐	㘔
𬭭	鏚
𬸯	鷿
𰬸	繐
𰰨	菕
𰶎	譅
𰾄	鋂
𰾭	鑀
𱊜	𪈼
