# Open Chinese Convert (OpenCC) Dictionary
# File: HKVariantsRevPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, hk2t.json
#
# Notes:
# - This file contains phrase-level exceptions for reverse Hong Kong variant
#   conversion. When a phrase here is matched, that span is converted by this
#   entry and is not affected by the character-level HKVariantsRev.txt mappings.
# - It is related to HKVariantsPhrases.txt, but the two files are not required
#   to be exact reverse mappings. Reverse variant conversion often needs
#   identity phrase exceptions that have no corresponding forward phrase entry.

針線箔籬	針線箔籬
針織	針織
針織品	針織品
針織廠	針織廠
針織料	針織料
針腳	針腳
針葉	針葉
針葉林	針葉林
針葉植物	針葉植物
針葉樹	針葉樹
針針見血	針針見血
針釦	針釦
針鋒	針鋒
針鋒相對	針鋒相對
針鋒相投	針鋒相投
針鋩	針鋩
針頭	針頭
針餌莫減	針餌莫減
針骨	針骨
針魚	針魚
針黹	針黹
針黹紡績	針黹紡績
針鼴	針鼴
針鼻	針鼻
針鼻兒	針鼻兒
釦針	釦針
鉤針	鉤針
銀核	銀核
銀針	銀針
鋼針	鋼針
錶針	錶針
鍋煙	鍋煙
鍋煙子	鍋煙子
鐵針	鐵針
鑑核備查	鑑核備查
長才	長才
長煙	長煙
長煙一空	長煙一空
長針	長針
開口	開口
防疫針	防疫針
陰核	陰核
隨才器使	隨才器使
雄才	雄才
雄才大略	雄才大略
雌核	雌核
雙核	雙核
雙鏈核酸	雙鏈核酸
雪茄煙	雪茄煙
雲煙	雲煙
雲煙過眼	雲煙過眼
雲煙過眼錄	雲煙過眼錄
電唱針	電唱針
電針	電針
電針麻醉	電針麻醉
需才孔亟	需才孔亟
露才	露才
露才揚己	露才揚己
霸才	霸才
青煙	青煙
非才	非才
非核	非核
面皂	面皂
頂核	頂核
頂針	頂針
頂針兒	頂針兒
頂針捱住	頂針捱住
頂門針	頂門針
順時針	順時針
預防針	預防針
領帶針	領帶針
風向針	風向針
風流才子	風流才子
風煙	風煙
飛煙傳	飛煙傳
飛針走線	飛針走線
飽學秀才	飽學秀才
香煙不絕	香煙不絕
香煙後代	香煙後代
香皂	香皂
馮驥才	馮驥才
驚才絕豔	驚才絕豔
骨針	骨針
高才	高才
高才生	高才生
高級管理人才	高級管理人才
髮針	髮針
鬼才	鬼才
鬼針草	鬼針草
鳳台	鳳台
鴉片煙	鴉片煙
鹽水針	鹽水針
麴秀才	麴秀才
麻醉針	麻醉針
黃有才	黃有才
黑煙	黑煙
點染雲煙	點染雲煙
點核	點核
鼻針療法	鼻針療法
齊煙九點	齊煙九點
齧蘗吞針	齧蘗吞針
龍煙鐵礦	龍煙鐵礦
